标准编号,标准名称
ISO/AWI 12001,Acoustics — Noise emitted by machinery and equipment — Rules for the drafting and presentation of a noise test code
ISO 16254,Acoustics — Measurement of sound emitted by road vehicles of category M and N at standstill and low speed operation — Engineering method
ISO/AWI 9614-1,Acoustics — Determination of sound power levels of noise sources using sound intensity — Part 1: Measurement at discrete points
ISO/DIS 17201-2,Acoustics — Noise from shooting ranges — Part 2: Calculation of muzzle blast
ISO 3744,Acoustics — Determination of sound power levels of noise sources using sound pressure — Engineering methods for an essentially free field over a reflecting plane
ISO/DIS 13472-2,Acoustics — Measurement of sound absorption properties of road surfaces in situ — Part 2: Spot method for reflective surfaces
ISO 23591:2021/DAmd 1,Acoustic quality criteria for music rehearsal rooms and spaces — Amendment 1: Asian (Korean) traditional music (Gugak)
ISO/DIS 1999,Acoustics — Estimation of noise-induced hearing loss
ISO/CD 532-3,Acoustics — Methods for calculating loudness — Part 3: Moore-Glasberg-Schlittenlacher method
ISO/AWI 16283-3,Acoustics — Field measurement of sound insulation in buildings and of building elements — Part 3: Façade sound insulation
ISO/AWI 20270,Acoustics — Characterization of sources of structure-borne sound and vibration — Indirect measurement of blocked forces
ISO/AWI 9614-2,Acoustics — Determination of sound power levels of noise sources using sound intensity — Part 2: Measurement by scanning
ISO/AWI 18484,Acoustics — Design process for the acoustic environment of buildings
ISO/AWI TS 12913-4,Acoustics — Soundscape — Part 4: Design and intervention
ISO/AWI TR 17534-3,Acoustics — Software for the calculation of sound outdoors — Part 3: Recommendations for quality assured implementation of ISO 9613-2 in software according to ISO 17534-1
ISO/AWI 4869-7,Acoustics — Hearing protectors — Part 7: Method to measure the response of hearing protectors with high-level impulse noise on an acoustic test fixture
ISO/AWI TS 16755-1,"Acoustics — Non acoustic factors influencing the perception, interpretation and response to environmental sounds — Part 1: Definition and conceptual framework"
ISO/AWI 13472-2,Acoustics — Measurement of sound absorption properties of road surfaces in situ — Part 2: Spot method for reflective surfaces
ISO/DIS 17208-3,Underwater acoustics — Quantities and procedures for description and measurement of underwater sound from ships — Part 3: Requirements for measurements in shallow water
ISO/AWI TR 25573,Underwater acoustics — Framework for standard-target calibration of active sonars
ISO/DIS 7605,Underwater acoustics — measurement of underwater ambient sound
ISO/AWI 23990,Underwater acoustics — bioacoustical terminology
ISO/CD TS 13604,Underwater acoustics — Standard-target method of calibrating active sonars for imaging and measuring scattering
ISO/DIS 3095,Railway applications — Acoustics — Measurement of noise emitted by railbound vehicles
ISO/AWI TR 24327,Guidelines for acoustic measurements of rheological properties
ISO/CD 12716,Non-destructive testing — Acoustic emission inspection — Vocabulary
ISO 2969:2015/CD Amd 1,Cinematography — B-chain electro-acoustic reponse of motion-picture control rooms and indoor theatres — Specifications and measurements — Amendment 1
ISO 2969:2015/AWI Amd 1,Cinematography — B-chain electro-acoustic reponse of motion-picture control rooms and indoor theatres — Specifications and measurements — Amendment 1
ISO/NP 9052-1 - Acoustics — Determination of dynamic stiffness — Part 1: Materials used under floating floors in dwellings,ISO/NP 9052-1 - Acoustics — Determination of dynamic stiffness — Part 1: Materials used under floating floors in dwellings
ISO 80000-8:2020/DAmd 1,Quantities and units — Part 8: Acoustics — Amendment 1
ISO/WD 20145,Pneumatic fluid power — Test methods for measuring acoustic emission pressure levels of exhaust silencers
ISO/DIS 19016,Gas cylinders — Cylinders and tubes of composite construction — Modal acoustic emission (MAE) testing for periodic inspection and testing
